id,host_id,availability_365,number_of_reviews_ltm
622091179379166142,267383539,190,70.0
21390934,139063900,247,70.0
32435134,48499570,30,70.0
46409985,4146729,302,70.0
3996089,20717056,214,70.0
34279029,243301834,75,70.0
30934979,93433349,171,70.0
24239102,146682595,29,70.0
1010845560977204288,325879968,321,70.0
40723364,308119248,325,70.0
1670427,8843962,304,70.0
2177176,11104800,187,70.0
1728329,1820272,152,70.0
17691490,15205607,38,70.0
26248234,8011761,2,70.0
2114892,1820272,225,70.0
2491989,12754807,171,70.0
27147771,204386908,269,70.0
959880,5223863,109,70.0
4022947,20856270,311,70.0
32931496,247597015,215,70.0
1019340307296601080,436123750,334,69.0
2469747,5582678,93,69.0
26883321,146682595,15,69.0
8433094,8843962,350,69.0
53176466,430225764,216,69.0
25986448,195332277,152,69.0
23114905,171753883,278,69.0
889658757021971661,512058432,340,69.0
26800509,146682595,18,69.0
30687407,120739476,216,69.0
16563363,36127665,272,69.0
12236695,17532317,284,69.0
961420647366409790,528129368,78,69.0
720180446558477202,480305959,339,69.0
1010864759459719909,325879968,314,69.0
961443747111735031,528129368,82,69.0
1041274088185457381,508676422,258,69.0
18819367,131028869,299,68.0
554261268550964592,19150551,213,68.0
49749729,8001113,293,68.0
596377715892032374,452221280,127,68.0
802126874920829758,353119373,75,68.0
1448933,3403659,289,68.0
772669169580233942,1432835,70,68.0
53185029,220888840,33,68.0
959089,5219447,288,68.0
785547170328341344,417190839,7,68.0
912828914794802303,346587839,304,68.0
3212167,5021111,300,68.0
276527,1444707,289,68.0
4629188,14262872,181,68.0
836651465284550703,1205494,203,67.0
11685016,62075195,312,67.0
666604385807739208,362312215,75,67.0
3864869,19950109,32,67.0
50494387,330874832,32,67.0
50799401,85865864,116,67.0
21521482,36233647,183,67.0
42733199,53978279,2,67.0
878081145884475316,511843467,253,67.0
934744940544483763,525469072,43,67.0
44423965,893805,236,67.0
35488866,8164313,111,67.0
1260018,6862183,36,67.0
26969209,146682595,25,67.0
2184062,11138605,295,67.0
22604862,8843962,323,67.0
999878909598521289,5878688,226,66.0
3082152,7906740,148,66.0
961445387030027434,528129368,84,66.0
2896610,1254851,138,66.0
724498356857619122,385133258,79,66.0
44219705,343287375,19,66.0
599678405545197631,139603160,20,66.0
757122339420535687,481799583,155,66.0
903387396313999731,25379005,93,66.0
1383728,6767012,294,66.0
963289,5249210,242,66.0
1482060,6166581,128,66.0
51182223,413276651,337,66.0
1100121,6042913,200,66.0
617782097807907933,4039955,306,66.0
1169191,6402136,243,66.0
35454439,5878688,200,65.0
2237750,11426239,164,65.0
439057,2181314,191,65.0
941791773105452245,519372295,80,65.0
359841,1820272,211,65.0
878746003499728024,511994727,277,65.0
27151343,146682595,28,65.0
2373057,12122822,210,65.0
992484311340614004,539781739,0,65.0
881884096628140142,512658514,36,65.0
799080192649946305,89737795,22,65.0
8882078,46159733,296,65.0
566750505374384648,225962284,91,65.0
949344955412733627,528768110,149,65.0
962065457996345477,4985749,156,65.0
1026157934827024645,538240196,74,65.0
638445952966254794,459330470,89,65.0
5097014,404364,209,65.0
793203958146267687,145318091,104,65.0
961442045210294120,353119373,79,65.0
1026110369946521113,538240196,74,65.0
15815550,21483975,94,65.0
51356667,12854836,154,65.0
51590412,893805,320,65.0
1081137772423690426,557047539,61,65.0
36717874,275975066,20,65.0
50267803,388714704,327,65.0
872245744798771752,33278356,343,65.0
24772424,139603160,0,64.0
1010828179627374481,325879968,304,64.0
15033558,42840863,54,64.0
41025443,320246830,275,64.0
912850339460574437,483555181,129,64.0
661534419768040453,450482486,121,64.0
8811813,46159733,266,64.0
35605066,52356704,272,64.0
13246027,3525390,128,64.0
9140899,6710684,281,64.0
10663752,1254851,143,64.0
951626782249289175,450525021,151,64.0
893594961352167702,511771696,98,64.0
707869761447524966,477963673,115,64.0
28148966,212429069,69,64.0
2308139,674212,265,64.0
10961519,56855891,118,64.0
903796122044709160,511771696,11,64.0
29322553,220888840,35,64.0
29274945,220552531,15,64.0
1126613779447054663,546777403,336,64.0
729078,3786292,149,64.0
4029838,20562475,144,64.0
4117009,21357628,321,64.0
38263959,46159733,289,64.0
937331,5036026,134,64.0
27079140,146682595,23,64.0
12634537,20439333,247,64.0
844029649016559995,271841311,146,64.0
3219190,4627509,340,63.0
976643531850845877,292287089,36,63.0
34729414,261933756,281,63.0
926745843879128829,25539017,65,63.0
42393313,40676061,85,63.0
3539908,17820109,120,63.0
875950395836707541,716866,296,63.0
52231678,420963332,0,63.0
21559043,893805,232,63.0
34957866,898600,300,63.0
43495895,18346951,121,63.0
42918242,337662144,153,63.0
865591330776338545,46159733,306,63.0
6794693,1489436,173,63.0
724350652882211750,474676082,73,63.0
53536169,433396597,86,63.0
25204415,971768,76,63.0
10447043,53820632,109,63.0
638368533888774118,94790530,0,63.0
1242470,6771638,174,63.0
2036662,4039955,275,63.0
21995015,437835392,79,63.0
1320149,3454952,85,63.0
4400390,20296916,45,63.0
618898280184578320,74319765,318,63.0
1042600883095164181,262996982,57,63.0
50063836,8001113,315,62.0
2058080,893805,309,62.0
20486545,139063900,250,62.0
2131287,5756325,245,62.0
41700124,329237362,101,62.0
775644,177617,301,62.0
43888224,351303838,66,62.0
12693694,67751158,270,62.0
2307557,674212,277,62.0
377161,1444707,316,62.0
852372864665104930,504452584,58,62.0
3045137,3657456,294,62.0
12500607,15802369,137,62.0
912360297937215200,509395328,22,62.0
17647478,120062125,279,62.0
25861509,193696134,149,62.0
1921353,4064440,233,62.0
