host_id,host_name,total_properties
335570948,Laure,23
54820821,Albert,23
4085156,BBarcelona,23
434205774,B&F Roger De Lluria,23
234256283,Francesc,22
131794,Damien,22
180908619,Dragon,22
498834040,Mayna,22
308683001,Sant Jordi Hostels,22
239550764,Jaye Anne,21
2202284,Johanna,21
20790978,Apartaments Turistics Barcelona S.L,21
328004770,Barnarent,21
437835392,Illacat,21
263406860,Enrique,21
10044989,Vincent,21
40676061,Be Barcelona,21
9784103,Apartime,21
582060,Fernando,20
26059902,Jenny & Pol,20
424664015,Ramon,20
301610993,Pol & Alvaro,20
114338664,Joan,20
426483512,Cerberu,20
182547471,Joel,20
163379623,Sonia - Interhome Group,20
445185135,Estancias,19
327616183,Alvaro & Pol,19
74189875,Rosa,19
567180,Sandra,19
5432336,Patricia,19
4146729,Manuel,19
367112877,Francesco,19
566719079,Pedro Alberto,19
174751009,Albert,19
22076771,Luis,19
287672372,Feliz,19
342498888,B&F Accommodations,19
121825,Barbara,19
45510964,The Onsider,19
4985749,My Address,19
467570537,Magalí,19
510942439,Victoria,18
330330852,Viola,18
178392708,Enjoy Apartments,18
333694747,B&F Apartments,18
21483975,Apartments Toni Space Barcelona,18
41807465,Casa-Barcelo-Hostel,18
559591890,Global Heritage,18
27573426,EasyFlat,18
9822728,Lodging Team,17
6907539,Jud,17
58993125,Albert,17
54320669,Juan,17
250093014,B&F Granados,17
172462374,Apartaments Unió,17
265147782,Sleep,17
575003839,Carlos Alberto,17
31538271,Hola Barcelona,17
351328829,Daniel,17
3972936,Willem,17
297885449,ByMonths,17
272408891,Urban Power,17
491623276,Laura,16
333769431,Mauricio,16
28388457,Eduardo,16
8001113,Ella,16
89109224,Jirka,16
3479346,Ewa & Pau,16
5878688,Yaiza,16
550521861,Maria Azucena,15
6797428,Bellart,15
280627266,Conjunts,15
418270816,Limehome,15
173993443,Pilar,15
470328763,Hostal,15
1205494,Gian Franco,15
559587354,Amistat,15
7215439,Marta,15
455185866,Harmony Serviced Residences,15
4064440,En Ville,15
267600211,BBarcelona,15
367613585,Suites Center,15
4906099,Jordi,15
559778219,Cristina,15
18191427,David,15
514894479,Merlan,15
5843487,Rosario/Diana,15
570375174,David Nicolas,15
224618386,EnjoyBcn,15
75620994,Sabrina,15
5543127,Vicky & Agus,14
534870364,Juan,14
457389299,Natalia,14
390203594,Marketing Accommodation,14
1093718,Alexey,14
6421296,Nancy,14
1435464,Jaume,14
161380107,Francesc,13
5107063,Sergio,13
893805,Phil And Fiona,13
308685811,Sant Jordi Hostels,13
19394205,Free Hostels,13
12617302,Tom’s Team,13
209872731,Two Hotel Barcelona - Adults Only,13
339646588,Emilio,13
407025665,Javier,13
444760781,Murman,13
325879968,Lorenzo And  Cristina,13
187494825,San,13
443056621,Ag,13
3678711,J,13
247176629,You Stylish Barcelona,13
17751441,Oswald,13
3615168,Eduardo,13
142418483,Joan,13
175453328,DreamKeys,12
170513081,Georgina,12
151637037,Judith,12
413160011,Loucie And John,12
99390362,Vale Suites,12
2291129,Marta And Emanuele,12
3590196,DestinationBCN - Apartments & Rooms,12
4260952,Marc  I Laia,12
6544866,Juan,12
1716315,Marc,12
189938340,Iñaki,12
2688205,Mònica,12
385398937,Pol Y Angela,12
144259355,Dmytro,12
1405013,Midtown,12
63481313,F,11
27008590,Ramon,11
207109766,Enrique,11
237151305,St Christophers Barcelona,11
3724467,EasySleep,11
134881865,Mestral,11
447848781,Stay U-Nique,11
21472437,Benjamin,11
35712072,Bcn Mad,11
37032072,Joan Josep,11
362312215,Xavier,11
264905862,Joerg,11
665793,Nicolás,11
9548670,Nougava,11
44913823,Karla,11
6976046,Albert,11
971768,Akira Flats,11
389605038,Winahost,11
3399123,Eberhard&Aurélie@Es-Flats,11
1683936,Ghat,11
514086348,Homeaway,11
245735909,Alessandro,10
183689967,SmartRoom,10
332259450,Santos,10
368317,Nacharosa,10
520153506,ALLforFLAT,10
27514370,Mariona,10
400154,Mireia,10
3193594,Jan,10
581845227,Maria Rosario,10
116349526,Diagonal,10
115783949,Rosa María,10
523458215,Green House,10
26342994,Pablo,10
238253143,Bird House,10
314476922,Alex,10
542371304,Claudia Matilde,10
397204561,Casa Consell Gran Via,10
210452060,Axel Hotel Barcelona - Adults Only,10
4258344,Sandra,10
86278272,John,10
547661959,Ezequiel,10
7104112,Tinika Sports Services Sl,10
424549856,Iving,10
208199613,Coti Y Max,10
168172986,Casilda'S,10
4217311,Frédéric,10
266193111,Plaza Goya Rooms,10
6057270,Alex,10
221565230,Josefina Marianela Peranio,10
528129368,Camila,10
450924555,B-F Gothic Quarter,10
516323372,Guillem,10
383697,Anna,9
147646238,Arturo,9
413617036,The Mo,9
489563137,Casa De Barca,9
14544418,Bartolome,9
44267303,Oscar,9
396940257,Milton,9
301446770,Xavi & Luna The Family Host,9
14002195,Agustín,9
113020313,Javier,9
9667715,Romina,9
77548260,Andrea,9
168091065,Long Term Apartments,9
565577444,Zhiwen,9
9534151,Pla Pastrana,9
188772696,Vinci,9
1228590,Antonio,9
274668580,Daniel,9
387595193,Standbyme,9
571375986,Jerry And Nina,9
362734677,Juan Carlos,9
2509252,Montaber,9
130878430,Apartments Freser 78,9
334441936,Natalia Y,9
61360206,Carles,9
26828317,Blackandwhitehome,9
238884286,Ramon,9
530035204,Luis Miguel,8
178208020,Marcel,8
2108468,Pau,8
21873399,Graciela,8
261933756,Alguera Napols,8
184642867,Vi,8
2366949,Jordi,8
183653067,Casa,8
336799170,BBarcelona Apartments,8
349752511,Bed And Friends Tourism,8
16942638,Ramon,8
357271340,Aharon Jonatan,8
511843467,The Streets Apartments,8
511695223,Maria,8
353119373,Joseph,8
550949793,Diego,8
3021973,Eduardo,8
4101093,Eli&Agus,8
521184808,Casa Llimona,8
146682595,Ana & Rafa,8
341221467,Amra Caspe,8
565996845,Diego Ignacio,8
3250728,Carlos,8
155203517,The Streets Apartments,8
270258032,Generator,8
116807111,Lorenzo,8
9477063,Xavier,8
6436558,Barcelona Comtal,8
188520846,B&F Atlantida,8
258578245,Casa Mercader,8
310644647,Lfdg Hostels,8
83729645,Mariajose,8
771458,Rita,8
566054440,Ezequiel,8
254596373,Tanya,8
255777870,Tywa,8
412411025,Rosa,8
46159733,Wally,8
46914366,Mambo,8
551826053,Alex,8
100152046,Oasis,8
489056053,Andrea,8
474317030,The Mo House,8
9916442,Stayourway Bcn,8
265315308,The Passage,7
428355504,Fontanella,7
84603055,Daniel,7
177617,Joaquin,7
371894667,Numa Boqueria,7
342801269,Destination BCN - Rooms,7
26781307,Ariel,7
16891380,Josep,7
5969578,Keren Business,7
2201772,Mercedes Heritage,7
59317222,Midtown,7
54310958,Be Mate,7
79500346,Andrea,7
78326216,Tania,7
308681334,Sant Jordi Hostels,7
15775899,Antonio,7
17532317,Hospitality Apartment Management Sl,7
225962284,Anna María,7
433396597,Hotel Sant Agustí,7
144775738,Xavi,7
497910778,BBarcelona El Clot Apartments,7
